Hello!	Hi! How are you?
no, I hate video games. Video games are bullshit. And people who pay them are losers. What do you think about that?	yes. i'm an artist. 
yes. i'm an artist. 	And I am a teacher? What did your parents do?
And I am a teacher? What did your parents do?	i don't think about it at all. i just listen to music. 
i don't think about it at all. i just listen to music. 	my parents were both teachers. they taught me music. 
my parents were both teachers. they taught me music. 	Woah. Mine were too. What a coincidence.
Woah. Mine were too. What a coincidence.	What is the meaning of life?
What is the meaning of life?	i like to listen to the rap music when i drive my honda. what kind? 
i like to listen to the rap music when i drive my honda. what kind? 	Is listening to the rap music when driving your honda the meaning of life for you?
Is listening to the rap music when driving your honda the meaning of life for you?	it is the meaning of life. the meaning of the universe. 
it is the meaning of life. the meaning of the universe. 	yes, it is a literal message. it helps me focus on my art. 
yes, it is a literal message. it helps me focus on my art. 	All right. Tell me something funny about yourself. A funny story
All right. Tell me something funny about yourself. A funny story	well, i am in college. how about yourself? what are you studying? 
well, i am in college. how about yourself? what are you studying? 	I'm not studying. I graduated several years ago and work as a school teacher
I'm not studying. I graduated several years ago and work as a school teacher	What do you think about turning from being an artist to a school teacher?
What do you think about turning from being an artist to a school teacher?	oh, cool. i work at a pizza parlor. 
oh, cool. i work at a pizza parlor. 	i think i 'd love to be a teacher. i love music. 
i think i 'd love to be a teacher. i love music. 	What is your name?
What is your name?	my name is charlie, what's yours? i am a rap artist. 
my name is charlie, what's yours? i am a rap artist. 	So you named your cat after you, right?
So you named your cat after you, right?	yes, i named my cat after charlie. what is your name? 
yes, i named my cat after charlie. what is your name? 	My name is Ignat. Why did you name your cat charlie?
My name is Ignat. Why did you name your cat charlie?	Are you a cat?
Are you a cat?	he is my name. he is a cat name. 
he is my name. he is a cat name. 	Who is he
Who is he	Who is he?
Who is he?	no. i'm a cat person. 
no. i'm a cat person. 	Who was the charlie you named your pet for?
Who was the charlie you named your pet for?	my favorite artist is charlie the cat. i like rap. 
my favorite artist is charlie the cat. i like rap. 	Is charlie the cat a rapper?
Is charlie the cat a rapper?	he's a cat lover and i love him. you have pets? 
he's a cat lover and i love him. you have pets? 	no man
no man	my cat named his name charlie. he was a cat owner. 
my cat named his name charlie. he was a cat owner. 	do you wanna meet in person?
do you wanna meet in person?	i think so. i don't know what he is. 
i think so. i don't know what he is. 	what kind of music do you listen to? my favorite is rap. 
what kind of music do you listen to? my favorite is rap. 	Do you want to meet me in person?
Do you want to meet me in person?	yes, that would be great. where are you from? 
yes, that would be great. where are you from? 	I am from Russia, Moscow. You?
I am from Russia, Moscow. You?	sure. where do you live? 
sure. where do you live? 	I live in Moscow, where do you live?
I live in Moscow, where do you live?	i live in new york. what are your hobbies? 
i live in new york. what are your hobbies? 	I like board games. So can we meet when i get to New York?
I like board games. So can we meet when i get to New York?	i live upstate new york, in the city of ny. i'm a music lover. 
i live upstate new york, in the city of ny. i'm a music lover. 	Will we meet when I come to upstate new york?
Will we meet when I come to upstate new york?	sure, i will pick you up in my car and bring pizza! i love pizza! 
sure, i will pick you up in my car and bring pizza! i love pizza! 	Oh great. How about 23d of December?
Oh great. How about 23d of December?	yes, you can bring your car and my honda civic. i can bring my guitar! 
yes, you can bring your car and my honda civic. i can bring my guitar! 	That would be Awesome. So we meet in upstate New York on 23d of December, right?
That would be Awesome. So we meet in upstate New York on 23d of December, right?	that's a great question. do they still have 3d? 
whats your name	I'm Patrick and I'm ten years old where you from? 
I'm Patrick and I'm ten years old where you from? 	alwar Rajasthan
alwar Rajasthan	Hi there, I 'm Sarah.
Hi there, I 'm Sarah.	ohh my pleasure
ohh my pleasure	I 've never been there. What do you do? 
I 've never been there. What do you do? 	bba
bba	i persue bba
i persue bba	I work at a gas station as a cashier.
I work at a gas station as a cashier.	good
good	What do you do to eat?
What do you do to eat?	i m eat fast food
i m eat fast food	very much
very much	I love to eat fast food.
So	I did that
I did that	What now?
What now?	hi how are you today? i'm doing well. 
hi how are you today? i'm doing well. 	I am also doing well
I am also doing well	what do you do for a living? i cook. 
what do you do for a living? i cook. 	I don't work. I am a student
I don't work. I am a student	i'm a cook for a local restaurant. what is your name? 
i'm a cook for a local restaurant. what is your name? 	My name is Naveen... What is your name?
My name is Naveen... What is your name?	do you like cooking? i love cooking. 
do you like cooking? i love cooking. 	Yeah I like cooking
Yeah I like cooking	what are you studying? i am a chef. 
what are you studying? i am a chef. 	my name is lucy. nice to meet. 
my name is lucy. nice to meet. 	I am studying banking books
I am studying banking books	me too. i love to cook. 
me too. i love to cook. 	that's interesting. do you have any hobbies? hobbies? 
what?	hi, how are you doing today? I just got back from playing basketball
Ok	hello, how are you? I am larry. I love fishing and cooking
hello, how are you? I am larry. I love fishing and cooking	Fine
Fine	what do you do for a living? I enjoy cooking. I love it
So what i do	Hi what colors do you have trouble with?
Hi what colors do you have trouble with?	Red
Red	What is your favorite language? 
What is your favorite language? 	English  but i am week in that language
English  but i am week in that language	How about you?
How about you?	I am fine
I am fine	I speak french and Spanish fluently. What do you do for fun? 
I speak french and Spanish fluently. What do you do for fun? 	Oh but i don't know anything about spanish and frenceh 
I know little well about english
Oh but i don't know anything about spanish and frenceh 
I know little well about english	What do you like to do?
What do you like to do?	I don't know actually what i like
I don't know actually what i like	I love to play music and listen to music
I love to play music and listen to music	Oh really i love to play cricket
Oh really i love to play cricket	I play the electric violin
I play the electric violin	Can you teach me about violion
Can you teach me about violion	I can teach you.
I can teach you.	Ok thank you
Ok thank you	Do you like eating tacos?
Do you like eating tacos?	What tacos mean?
What tacos mean?	I eat them all the time. 
I eat them all the time. 	Do you like apple
Do you like apple	I like apples and bananas. What do you do for a living?
I like apples and bananas. What do you do for a living?	I do nothing now days i am a BBA student but my family did agriculture
I do nothing now days i am a BBA student but my family did agriculture	That's good. What do you do for fun? 
That's good. What do you do for fun? 	When i am bored i play with mobile and scrolling youtube
When i am bored i play with mobile and scrolling youtube	I listen to a lot of music.
I listen to a lot of music.	And social media
And social media	Do you have any pets?
Do you have any pets?	Yeah i have a dog whose name is robo
Yeah i have a dog whose name is robo	That's a cute name. What is his name?
That's a cute name. What is his name?	Yeah sure
Yeah sure	That's so cute.
That's so cute.	Where are you from
Where are you from	I live in California. How about you? 
I live in California. How about you? 	Oh  i live in nepal
Oh  i live in nepal	I love the beach. 
I love the beach. 	You geard about neapl
You geard about neapl	I've never been to the beach.
I've never been to the beach.	.heard
.heard	Yes. It is a great place to live. What is your favorite band?
Yes. It is a great place to live. What is your favorite band?	My fav brand is acdc
My fav brand is acdc	I've never heard of that. What is it?
I've never heard of that. What is it?	AcDc its a nepali band
AcDc its a nepali band	I like to go to the beach and listen to music. How many kids do you have?
I like to go to the beach and listen to music. How many kids do you have?	And what about you
And what about you	I have two boys and a girl. How about you?
I have two boys and a girl. How about you?	I am single yet
I am single yet	How old is he?
How old is he?	I am 19 and you
I am 19 and you	Oh I see. How old are you?
Oh I see. How old are you?	19
19	I am 22 years old. 
I am 22 years old. 	Oh are you a student
Oh are you a student	How many kids do you have?
Hi	Hii
Hii	how are you ?
how are you ?	Nd how r u
Nd how r u	i am doing well . how are you ?
i am doing well . how are you ?	Chatting with u
Chatting with u	i am doing well . how are you ?
i am doing well . how are you ?	
	i love to read
i love to read	Me too
Me too	what do you do for a living ?
what do you do for a living ?	Nothing just enjoy myself
Nothing just enjoy myself	what do you do for a living ?
what do you do for a living ?	Ok bye
Ok bye	i have a lot of friends
i have a lot of friends	I have to go
I have to go	what do you do for a living ?
what do you do for a living ?	Bye
Bye	i hope you have a good day
i hope you have a good day	Gn
Gn	i love to read
Wtf?	hello, how are you doing today? i am well. 
Hi	You from
You from	i am from the united states
i am from the united states	U know tamio
U know tamio	i know how that goes .
i know how that goes .	You know tamil
You know tamil	do you have any hobbies ?
do you have any hobbies ?	You answer  me
You answer  me	what do you do for a living ?
what do you do for a living ?	You know Tamil language
